"match_id,inning,batting_team,bowling_team,over,ball,striker,bowler,non_striker,runs_by_batter,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,10.0,5.0,RT Ponting,JH Kallis,BB McCullum,0.0,0.0,0.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,10.0,6.0,RT Ponting,JH Kallis,BB McCullum,0.0,4.0,4.0,byes,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,11.0,1.0,BB McCullum,SB Joshi,RT Ponting,0.0,0.0,0.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,11.0,2.0,BB McCullum,SB Joshi,RT Ponting,6.0,0.0,6.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,11.0,3.0,BB McCullum,SB Joshi,RT Ponting,2.0,0.0,2.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,11.0,4.0,BB McCullum,SB Joshi,RT Ponting,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,11.0,5.0,RT Ponting,SB Joshi,BB McCullum,0.0,0.0,0.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,11.0,6.0,RT Ponting,SB Joshi,BB McCullum,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,12.0,1.0,RT Ponting,JH Kallis,BB McCullum,0.0,0.0,0.0,None,1,RT Ponting,caught,P Kumar"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,12.0,2.0,BB McCullum,JH Kallis,DJ Hussey,4.0,0.0,4.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,12.0,3.0,BB McCullum,JH Kallis,DJ Hussey,0.0,0.0,0.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,12.0,4.0,BB McCullum,JH Kallis,DJ Hussey,2.0,0.0,2.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,12.0,5.0,BB McCullum,JH Kallis,DJ Hussey,0.0,1.0,1.0,wides,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,12.0,6.0,BB McCullum,JH Kallis,DJ Hussey,4.0,0.0,4.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,12.0,7.0,BB McCullum,JH Kallis,DJ Hussey,1.0,0.0,1.0,None,0,None,None,None"
